Club,Last Name,First Name,Playing Position,2022 Base Salary,2022 Guar. Comp.
Atlanta United,Almada,Thiago ,M-F,"$1,650,000","$2,332,000"
Atlanta United,Alonso,Osvaldo,M,"$84,000","$84,000"
Atlanta United,Ambrose,Mikey,D,"$85,444","$85,444"
Atlanta United,AraÃºjo,Luiz ,F-M,"$3,600,000","$3,941,667"
Atlanta United,Barco,Ezequiel,M,"$2,200,000","$2,200,000"
Atlanta United,Campbell,George,D,"$98,000","$98,000"
Atlanta United,Castanheira,Dylan,GK,"$85,444","$85,444"
Atlanta United,Centeno,Erik ,D,"$65,500","$75,276"
Atlanta United,Chol,Machop,M,"$65,500","$65,500"
Atlanta United,Cisneros,Ronaldo ,F,"$244,000","$244,000"
Atlanta United,Conway,Jackson,F,"$84,000","$84,000"
Atlanta United,De John,Alex,D,"$85,444","$85,444"
Atlanta United,Dwyer,Dom,F,"$84,000","$84,000"
Atlanta United,Franco,Alan,D,"$540,000","$667,500"
Atlanta United,Garces,Justin ,GK,"$65,500","$65,500"
Atlanta United,Gutman,Andrew,D,"$300,000","$331,250"
Atlanta United,Guzan,Brad,GK,"$445,716","$458,216"
Atlanta United,HernÃ¡ndez,Ronald,D,"$300,000","$300,000"
Atlanta United,Hyndman,Emerson,M,"$657,143","$657,143"
Atlanta United,Ibarra,Franco,D-M,"$450,000","$520,000"
Atlanta United,Lennon,Brooks,D,"$500,000","$500,000"
Atlanta United,LÃ³pez Samaniego,Erik ,F,"$360,000","$528,300"
Atlanta United,MartÃ­nez,Josef,F,"$3,750,000","$4,141,667"
Atlanta United,Morales,Efrain,D,"$65,500","$65,500"
Atlanta United,Moreno,Marcelino,F-M,"$460,000","$460,000"
Atlanta United,Mulraney,Jake,M,"$301,600","$338,777"
Atlanta United,Robinson,Miles,D,"$700,000","$737,500"
Atlanta United,Rossetto,Matheus,M,"$550,000","$662,500"
Atlanta United,SejdiÄ‡,Amar,M,"$85,444","$85,444"
Atlanta United,Shuttleworth,Bobby,GK,"$125,000","$125,000"
Atlanta United,Sosa,Santiago,M-F,"$525,000","$643,100"
Atlanta United,Washington,Bryce,D,"$65,500","$65,500"
Atlanta United,Wiley ,Caleb ,D,"$65,500","$67,100"
Atlanta United,Wolff,Tyler,F-M,"$110,000","$114,500"
Austin FC,Asensio,Carlos ,D,"$65,500","$65,500"
Austin FC,Cascante,Julio,D,"$310,000","$337,500"
Austin FC,DjittÃ©,Moussa,F,"$550,000","$550,000"
Austin FC,Dominguez,Cecilio,F,"$1,530,000","$1,736,000"
Austin FC,Driussi,Sebastian,F,"$2,200,000","$2,317,000"
Austin FC,FagÃºndez,Diego,M,"$450,000","$450,000"
Austin FC,Finlay,Ethan,M,"$350,000","$350,000"
Austin FC,Gabrielsen,Ruben,D,"$950,000","$950,000"
Austin FC,Gallagher,Jon,F,"$155,000","$155,000"
Austin FC,Hoesen,Danny,F,"$650,000","$716,667"
Austin FC,Jimenez,Hector,D,"$200,000","$200,000"
Austin FC,Keller ,Kipp ,M,"$84,000","$96,500"
Austin FC,Kleeman,Freddy,D,"$66,724","$66,724"
Austin FC,Kolmanic,Zan,D,"$300,000","$300,000"
Austin FC,Las,Damian,GK,"$65,500","$65,500"
Austin FC,Lima,Nick,D,"$350,000","$350,000"
Austin FC,Martins,Felipe,M,"$84,000","$84,000"
Austin FC,Pereira,Danny,M,"$84,000","$102,258"
Austin FC,Pochettino,Tomas,M,"$525,000","$585,000"
Austin FC,Pulisic,William ,GK,"$66,724","$66,724"
Austin FC,Redes,Rodney,F,"$412,500","$412,500"
Austin FC,Ring,Alexander,M,"$1,500,000","$1,640,000"
Austin FC,RomaÃ±a,Jhohan,D,"$440,000","$440,000"
Austin FC,Stroud,Jared,M,"$84,000","$84,000"
Austin FC,Stuver,Brad,GK,"$175,000","$185,000"
Austin FC,Tarbell,Andrew,GK,"$300,000","$308,333"
Austin FC,Urruti,Maximiliano,F,"$625,000","$661,250"
Austin FC,Valencia ,Jhojan,M,"$355,000","$400,125"
Austin FC,Wolff,Owen ,M,"$65,500","$78,553"
Charlotte FC,Afful,Harrison,D,"$300,000","$332,500"
Charlotte FC,AlcÃ­var,Jordy ,M,"$235,000","$325,600"
Charlotte FC,Armour,Adam,D,"$65,500","$65,500"
Charlotte FC,Bender,Benjamin ,M,"$65,500","$83,000"
Charlotte FC,Bronico,Brandt,M,"$125,000","$134,330"
Charlotte FC,Corujo,Guzman,D,"$600,000","$633,500"
Charlotte FC,Franco,Alan Steven,M,"$480,000","$538,300"
