"Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes,Player-additional"
"Ercan Kara,at AUT,FW,26,$35769 (€ 33664 £ 29732),$1860000 (€ 1750524 £ 1546045),Official,540c9a17"
"Mauricio Pereyra,uy URU,MF,31,$21154 (€ 19909 £ 17583),$1100000 (€ 1035256 £ 914328),Official,f45eb18d"
"Antonio Carlos,br BRA,DF,28,$17308 (€ 16289 £ 14386),$900000 (€ 847028 £ 748086),Official,949fe1e8"
"Júnior Urso,br BRA,MFFW,32,$14423 (€ 13574 £ 11989),$750000 (€ 705857 £ 623405),Official,b40424f1"
"Facundo Torres,uy URU,FWMF,21,$11538 (€ 10859 £ 9591),$600000 (€ 564685 £ 498724),Official,4de3b2c0"
"Robin Jansson,se SWE,DF,30,$10096 (€ 9502 £ 8392),$525000 (€ 494100 £ 436384),Official,8ca5c176"
"Pedro Gallese,,GK,32,$9904 (€ 9321 £ 8232),$515000 (€ 484688 £ 428072),Official,-9999"
"Alexandre Pato,br BRA,FWMF,32,$7692 (€ 7240 £ 6394),$400000 (€ 376457 £ 332483),Official,7dd83c7d"
"Ruan,br BRA,DF,26,$6923 (€ 6516 £ 5755),$360000 (€ 338811 £ 299234),Official,f2665f7c"
"Nicholas Gioacchini,us USA,FWMF,21,$6731 (€ 6335 £ 5595),$350004 (€ 329404 £ 290926),Official,79ab7593"
"Iván Angulo,co COL,FW,22,$6692 (€ 6298 £ 5563),$348000 (€ 327517 £ 289260),Official,55a5d959"
"Tesho Akindele,ca CAN,FW,29,$6250 (€ 5882 £ 5195),$325000 (€ 305871 £ 270142),Official,897304e5"
"Jake Mulraney,ie IRL,FWMF,25,$5800 (€ 5459 £ 4821),$301600 (€ 283848 £ 250692),Official,0f04858e"
"Wilder Cartagena,pe PER,MF,27,$4615 (€ 4344 £ 3836),$240000 (€ 225874 £ 199490),Official,9f0f5d15"
"Andrés Perea,us USA,MFFW,21,$4615 (€ 4344 £ 3836),$240000 (€ 225874 £ 199490),Official,7e1dbecf"
"João Moutinho,pt POR,DF,24,$4231 (€ 3982 £ 3517),$220000 (€ 207051 £ 182866),Official,a0aee24e"
"Rodrigo Schlegel,ar ARG,DF,24,$3846 (€ 3620 £ 3197),$200000 (€ 188228 £ 166241),Official,5bb02df4"
"César Araujo,uy URU,MF,20,$3462 (€ 3258 £ 2877),$180000 (€ 169406 £ 149617),Official,3ed214ff"
"Kyle Smith,us USA,DF,30,$2473 (€ 2327 £ 2055),$128580 (€ 121012 £ 106877),Official,9e6b2ec3"
"Benji Michel,us USA,FWMF,24,$2212 (€ 2081 £ 1838),$115000 (€ 108231 £ 95589),Official,151ca25f"
"Joey DeZart,us USA,DF,23,$1725 (€ 1624 £ 1434),$89716 (€ 84436 £ 74573),Official,9d7142a6"
"Mason Stajduhar,us USA,GK,24,$1725 (€ 1624 £ 1434),$89716 (€ 84436 £ 74573),Official,f01df62c"
"Michael Halliday,us USA,DFMF,19,$1725 (€ 1624 £ 1434),$89716 (€ 84436 £ 74573),Official,6ad5f50e"
"Adam Grinwis,us USA,GK,29,$1643 (€ 1546 £ 1366),$85444 (€ 80415 £ 71022),Official,0d3f30b9"
"Thomas Williams,us USA,DF,17,$1283 (€ 1208 £ 1067),$66724 (€ 62797 £ 55461),Official,d46d1cdd"
"Jack Lynn,us USA,FWDF,22,$1260 (€ 1185 £ 1047),$65500 (€ 61645 £ 54444),Official,c81d718e"
"Alexander Freeman,us USA,RB,17,$1260 (€ 1185 £ 1047),$65500 (€ 61645 £ 54444),Official,754f150b"
"Javier Otero,,GK,19,,,,-9999"
"Brandon Hackenberg,,CB,24,,,,-9999"
"29 Players,,,,,,,-9999"
