"Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals_Added","Base_Salary","Guaranteed_Compensation","Log_Goals_Added"
"Hany Mukhtar","NSH",2022,"ST",3082,0.98,0.8,-0.2,0.86,1.44,1.54,5.43,1637500,1926250,0.993876914941211
"Carles Gil","NER",2022,"AM",3181,2.8,0.45,-0.05,2.65,-1.12,-0.21,4.52,3250000,3545830,0.951823035315912
"José Cifuentes","LAFC",2022,"CM",2557,0.72,-0.02,0.21,1.64,1.39,0.54,4.49,367875,411750,0.950364854376123
"Diego Rubio","COL",2022,"AM",2670,-0.15,0.35,0.17,1.11,1.6,0.56,3.63,585000,629583,0.906335041805091
"Luciano Acosta","CIN",2022,"AM",2708,-0.28,0.17,-0.1,1.91,1.69,0.24,3.63,1943500,2222850,0.906335041805091
"Bill Tuiloma","POR",2022,"CB",2532,-0.02,0.2,1.3,0.64,0.73,0.69,3.54,285000,304450,0.901458321396112
"Thiago Almada","ATL",2022,"AM",2622,1.54,-0.21,-0.37,1.88,-0.2,0.76,3.4,1650000,2332000,0.893761762057943
"Andreu Fontàs","SKC",2022,"CB",2672,0.47,0.38,0.92,1.35,-0.04,0.18,3.26,1125000,1125000,0.885926339801431
"Luiz Araújo","ATL",2022,"W",2382,2.5,-0.04,-0.22,0.09,-0.31,1.13,3.14,3.6e+06,4480330,0.879095879500073
"Michael Bradley","TOR",2022,"DM",3411,1.22,-0.05,1.11,1.56,-0.68,-0.34,2.83,1.5e+06,1.5e+06,0.860936620700094
"Walker Zimmerman","NSH",2022,"CB",2784,0.33,-0.2,0.43,0.66,0.91,0.58,2.71,2088240,2345210,0.853698211776174
"Ryan Gauld","VAN",2022,"AM",2435,0.34,0.01,0.41,0.67,0.71,0.41,2.54,2160000,2265000,0.843232778098009
"Emanuel Reynoso","MIN",2022,"AM",2718,0.58,0.79,0.14,1.34,-0.36,0,2.49,850000,1066910,0.840106094456758
"Maximiliano Morález","NYC",2022,"AM",2321,0.59,-0.09,0.29,1.92,-0.12,-0.18,2.41,670000,1.3e+06,0.835056101720116
"Valentín Castellanos","NYC",2022,"ST",1653,0.21,0.52,0.09,-0.11,1.17,0.49,2.37,9e+05,1076000,0.832508912706236
"Jack Elliott","PHI",2022,"CB",3167,-0.43,-0.01,2.96,-0.48,0.11,0.18,2.32,7e+05,793750,0.829303772831025
"Juan Hernández","CLB",2022,"ST",1445,0.67,-0.09,0.02,0.88,0.03,0.81,2.31,2.6e+06,2886000,0.82865989653532
"Alan Franco","ATL",2022,"CB",2993,0.59,0.29,0.63,1.07,-0.34,0.03,2.26,540000,667500,0.825426117767823
"Jordan Morris","SEA",2022,"W",2500,0.28,0.04,0.1,-0.66,2.17,0.29,2.23,1250000,1370100,0.823474229170301
"Denis Bouanga","LAFC",2022,"W",556,0.51,0.24,-0.04,-0.08,1.13,0.44,2.2,2083330,2083330,0.821513528404773
"Mikael Uhre","PHI",2022,"ST",1758,1.13,0.58,-0.26,0.42,-0.03,0.3,2.14,1.4e+06,1666250,0.817565369559781
"Robin Jansson","ORL",2022,"CB",2185,0.53,0.19,1.07,0.52,-0.42,0.13,2.03,525000,581250,0.810232517995084
"Joel Waterman","MTL",2022,"CB",2947,0.44,0.05,0.09,1.4,-0.07,0.1,2.02,125000,133909,0.809559714635268
"Chicharito","LAG",2022,"ST",2811,0.22,1.15,-0.32,-0.36,1.18,0.14,2.01,6e+06,7443750,0.808885867359812
"Lassi Lappalainen","MTL",2022,"FB",2097,0.38,0.23,-0.08,-0.17,1.17,0.45,1.97,510000,540000,0.806179973983887
"Andrew Gutman","ATL",2022,"FB",2162,0.13,0.08,-0.1,-0.33,1.62,0.57,1.96,3e+05,331250,0.8055008581584
"Talles Magno","NYC",2022,"W",2886,0.73,0.21,-0.32,-0.36,1.14,0.49,1.9,950000,1198000,0.801403710017355
"Sebastián Blanco","POR",2022,"AM",2010,0.44,-0.03,-0.41,2.11,-0.32,0.07,1.86,1340000,1708000,0.798650645445269
"Riqui Puig","LAG",2022,"CM",913,0.6,0.36,-0.07,0.91,-0.19,0.23,1.84,1612500,1695000,0.797267540830716
"Alejandro Bedoya","PHI",2022,"CM",2677,0.06,-0.22,-0.34,1.74,0.39,0.22,1.84,9e+05,1110000,0.797267540830716
"Pedro Santos","CLB",2022,"FB",2570,0.01,0.14,0.19,1.87,-0.42,0.04,1.84,625000,687500,0.797267540830716
"Rafael Czichos","CHI",2022,"CB",2572,0.23,0.05,0.84,0.08,0.4,0.18,1.77,1.3e+06,1336670,0.792391689498254
"Ryan Hollingshead","LAFC",2022,"FB",2161,0.44,0.3,0.35,0.03,0.19,0.45,1.77,393750,393750,0.792391689498254
"Francisco Calvo","SJE",2022,"CB",1286,0.12,0.26,0.4,0.44,0.33,0.2,1.76,866087,925937,0.791690649020118
"Santiago Rodríguez","NYC",2022,"AM",2730,1.56,0.1,0,0.06,0.11,-0.08,1.75,612500,612500,0.790988475088816
"William Agada","SKC",2022,"ST",1002,0.28,-0.1,-0.13,-0.06,1.24,0.51,1.75,2e+05,246875,0.790988475088816
"Claudio Bravo","POR",2022,"FB",2441,-0.2,-0.54,1.38,0.9,-0.04,0.22,1.72,3e+05,323310,0.788875115775417
"Cory Burke","PHI",2022,"ST",1353,0.13,-0.25,0.13,0.83,0.65,0.22,1.7,4e+05,450770,0.787460474518415
"Darwin Quintero","HOU",2022,"AM",1938,-0.23,0.34,-0.28,1.9,-0.2,0.17,1.7,6e+05,661250,0.787460474518415
"Brandon Bye","NER",2022,"FB",2806,-0.21,0.17,0.22,-0.11,1.19,0.39,1.65,325000,343813,0.783903579272735
"Mamadou Fall","LAFC",2022,"CB",1338,0.19,0.08,0.3,0.24,0.62,0.15,1.59,106000,118750,0.779596491257824
"Matt Hedges","FCD",2022,"CB",2463,0.05,0.01,0.97,0.49,0,0.06,1.58,9e+05,9e+05,0.77887447200274
"Marcelino Moreno","ATL",2022,"AM",1957,0.21,0.24,-0.07,1.08,-0.27,0.37,1.55,460000,568333,0.776701183988411
"Jonathan Lewis","COL",2022,"W",2418,1.42,0.73,-0.3,-1.48,0.75,0.4,1.53,410000,435000,0.775246259740236
"Alexander Callens","NYC",2022,"CB",2685,0.35,0.21,-0.44,0.13,0.83,0.44,1.52,750000,814000,0.77451696572855
"Michael Barrios","COL",2022,"W",2087,0.59,0.07,-0.05,0.27,0.6,0.04,1.52,650000,680000,0.77451696572855
"Jonathan Mensah","CLB",2022,"CB",2847,0,0.3,0.55,0.39,0.2,0.08,1.52,1e+06,1140670,0.77451696572855
"Daniel Ríos","CLT",2022,"ST",1558,0.33,-0.19,-0.28,-0.14,1.61,0.16,1.5,230000,251500,0.773054693364263
"Robin Lod","MIN",2022,"W",2702,-0.74,-0.3,1.01,0.54,0.79,0.17,1.47,849996,952496,0.770852011642144
"Carlos Vela","LAFC",2022,"W",2528,-1.28,0.15,-0.14,2.24,0.54,-0.05,1.45,2.4e+06,2737500,0.769377326076139
"Aaron Herrera","RSL",2022,"FB",2497,0.15,-0.49,1.13,0.9,-0.2,-0.05,1.45,7e+05,795220,0.769377326076139
"Bongokuhle Hlongwane","MIN",2022,"W",1754,-0.04,-0.16,0.69,-0.11,0.76,0.26,1.39,530000,580000,0.764922984649888
"Cristian Arango","LAFC",2022,"ST",2562,-0.76,0.13,0.67,0.16,0.45,0.74,1.39,624000,683000,0.764922984649888
"Jhon Durán","CHI",2022,"ST",1534,-0.03,0.35,0.04,-0.08,0.87,0.23,1.39,120000,167000,0.764922984649888
"Emerson Rodríguez","MIA",2022,"W",642,0.92,-0.03,0.09,0.11,0.13,0.16,1.38,315000,350500,0.764176132390331
"Rándall Leal","NSH",2022,"AM",2277,0.17,0.26,0.28,1.12,-0.72,0.26,1.37,850000,965000,0.763427993562937
"Diego Palacios","LAFC",2022,"FB",2669,-0.54,0.04,1.06,0.5,0.35,-0.06,1.35,486000,510000,0.761927838420529
"Lorenzo Insigne","TOR",2022,"W",1018,0.41,-0.05,0.12,0.4,-0.07,0.51,1.32,1.4e+07,1.4e+07,0.75966784468963
"Julio Cascante","ATX",2022,"CB",3011,-0.17,0.27,-1.05,0.38,1.55,0.32,1.3,310000,337500,0.75815462196739
"Jean Mota","MIA",2022,"DM",2882,0.19,0.35,0.98,0.18,-0.7,0.3,1.29,7e+05,805000,0.757396028793024
"Alex De John","ATL",2022,"CB",462,0.1,0.02,0.56,0.1,0.39,0.13,1.29,85444,85444,0.757396028793024
"Diego Chara","POR",2022,"DM",2706,0.06,0.12,1.53,0.39,-0.32,-0.52,1.26,675000,683333,0.755112266395071
"Brenner","CIN",2022,"ST",2236,-1.09,-0.1,0.39,0.39,1.08,0.59,1.26,1680000,2218600,0.755112266395071
"Jonathan Osorio","TOR",2022,"CM",1919,-0.32,0.09,0.06,0.37,0.75,0.3,1.25,1e+06,1026250,0.754348335711019
"Efrain Álvarez","LAG",2022,"W",1566,0.05,0.17,-0.11,1.25,-0.49,0.34,1.22,6e+05,706250,0.752048447819438
"Nathan","SJE",2022,"CB",2468,-0.47,-0.39,0.54,0.39,0.79,0.35,1.21,650000,691250,0.751279103983342
"Nathan","SJE",2022,"CB",2468,-0.47,-0.39,0.54,0.39,0.79,0.35,1.21,65500,65500,0.751279103983342
"Kervin Arriaga","MIN",2022,"DM",2056,-0.18,0.04,0.82,0.68,-0.1,-0.05,1.21,84000,103667,0.751279103983342
"Derrick Williams","LAG",2022,"CB",2381,0.53,-0.54,1.14,-0.2,0.13,0.1,1.17,750000,821458,0.7481880270062
"Kamal Miller","MTL",2022,"CB",2536,0.18,-0.04,-0.49,0.57,0.66,0.28,1.15,3e+05,345000,0.746634198937579
"Domenico Criscito","TOR",2022,"FB",1300,0.06,0.14,0.29,0.63,-0.12,0.08,1.09,1.2e+06,1510000,0.741939077729199
"Lalas Abubakar","COL",2022,"CB",2781,-0.06,-0.24,1.12,-0.24,0.27,0.22,1.07,235000,272125,0.740362689494244
"Brandon Vázquez","CIN",2022,"ST",2969,-1.49,-0.21,0.2,0.03,2.17,0.36,1.05,275000,517500,0.738780558484369
"Paul Marie","SJE",2022,"FB",2401,0.13,0.24,0.62,-0.3,0.13,0.23,1.04,145000,156375,0.737987326333431
"Santiago Moreno","POR",2022,"W",2659,-0.07,0.48,0.33,0.13,0.2,-0.02,1.04,3e+05,344576,0.737987326333431
"Kai Wagner","PHI",2022,"FB",3278,-0.08,-0.28,0.72,1.07,-0.31,-0.08,1.04,510000,581000,0.737987326333431
"Olivier Mbaizo","PHI",2022,"FB",1450,0.35,0.3,0.26,0.33,-0.13,-0.1,1.02,3e+05,367343,0.736396502276642
"Javain Brown","VAN",2022,"CB",2030,0.08,0.08,0.94,0.16,-0.2,-0.04,1.02,84000,97481,0.736396502276642
"Julian Gressel","DCU, VAN",2022,"FB",2557,-0.68,0.03,-0.15,0.28,1.19,0.33,0.99,914000,969781,0.733999286538387
"Julián Carranza","PHI",2022,"ST",2379,-0.76,0.49,0.15,-0.83,1.15,0.76,0.96,9e+05,9e+05,0.731588765186739
"Gregore","MIA",2022,"DM",2986,0.55,-0.2,0.86,0.44,-0.55,-0.15,0.94,7e+05,801000,0.729974285699556
"Graham Zusi","SKC",2022,"FB",1815,0.17,0.09,0.55,0.42,-0.27,-0.01,0.94,450000,450000,0.729974285699556
"Héctor Herrera","HOU",2022,"DM",773,0.03,-0.04,0.44,0.18,0.25,0.07,0.94,4750000,5246880,0.729974285699556
"Romell Quioto","MTL",2022,"ST",2232,0.96,-0.25,-0.35,-0.46,0.58,0.45,0.93,8e+05,885000,0.72916478969277
"Guzmán Corujo","CLT",2022,"CB",2271,0.13,0.24,1.07,-0.46,-0.1,0.05,0.93,6e+05,633500,0.72916478969277
"Auston Trusty","COL",2022,"CB",1589,-0.04,0.17,0.77,-0.13,0.1,0.07,0.92,718000,890292,0.728353782021228
"Gastón Brugman","LAG",2022,"CM",1220,0.42,0.01,-0.14,0.72,-0.11,0.02,0.92,1.2e+06,1409000,0.728353782021228
"Derrick Etienne","CLB",2022,"W",2431,0.81,-0.13,-0.07,-0.8,0.84,0.28,0.92,175000,175000,0.728353782021228
"Felipe Gutiérrez","COL",2022,"DM",887,-0.4,-0.02,0.84,0.36,0.13,0.01,0.92,552000,569250,0.728353782021228
"Jesús Ferreira","FCD",2022,"ST",2913,1.22,-0.42,0.7,0.4,-1.17,0.19,0.91,1.3e+06,1499000,0.727541257028556
